op_id,airport_code,date,total_departures,total_arrivals,cancelled_flights,diverted_flights,avg_dep_delay_min,avg_arr_delay_min,on_time_pct,capacity_utilization_pct,ground_stops,gate_holds,runway_closures
OP0001010,LAX,2023-10-07,692,682,2,2,5.2,8.3,88.0,84.9,0,2,0
OP0001011,LAX,2023-10-08,735,740,8,2,0.7,3.9,99,77.2,0,1,0
OP0001012,LAX,2023-10-09,665,661,4,2,18.4,20.2,72.1,85.7,0,2,0
OP0001013,LAX,2023-10-10,691,694,3,2,18.4,24.9,64.1,85.9,0,0,0
OP0001014,LAX,2023-10-11,693,699,8,0,8.3,11.6,88.9,81.5,0,1,1
OP0001015,LAX,2023-10-12,686,692,15,1,14.7,15.4,76.5,82.0,0,1,0
OP0001016,LAX,2023-10-13,789,794,8,2,10.9,16.9,77.6,81.3,0,0,0
OP0001017,LAX,2023-10-14,771,769,9,2,14.1,16.0,71.1,83.3,0,2,0
OP0001018,LAX,2023-10-15,690,681,5,1,14.3,16.6,77.1,84.3,0,2,0
OP0001019,LAX,2023-10-16,606,611,10,1,7.8,13.5,85.1,74.3,0,2,0
OP0001020,LAX,2023-10-17,631,622,10,1,7.5,13.3,84.0,80.9,0,2,0
OP0001021,LAX,2023-10-18,595,599,9,1,8.8,15.1,78.1,78.6,0,1,0
OP0001022,LAX,2023-10-19,644,639,12,1,12.3,17.3,74.1,83.0,0,0,0
OP0001023,LAX,2023-10-20,700,690,6,3,14.7,15.7,70.8,79.0,0,2,0
OP0001024,LAX,2023-10-21,730,724,7,1,6.1,10.1,87.3,83.6,0,0,0
OP0001025,LAX,2023-10-22,766,766,9,1,8.1,7.4,85.5,82.1,0,1,0
OP0001026,LAX,2023-10-23,640,638,10,3,15.0,22.6,72.3,82.8,0,1,0
OP0001027,LAX,2023-10-24,665,667,8,2,17.4,19.4,70.3,79.8,0,0,0
OP0001028,LAX,2023-10-25,663,659,0,2,11.8,10.7,80.9,83.4,0,0,0
OP0001029,LAX,2023-10-26,718,719,7,2,8.0,7.1,95.3,84.5,0,2,0
OP0001030,LAX,2023-10-27,778,768,7,3,11.4,11.9,77.2,80.9,0,1,0
OP0001031,LAX,2023-10-28,740,748,9,1,12.3,15.4,78.3,83.0,0,2,0
OP0001032,LAX,2023-10-29,724,730,7,3,13.0,16.9,75.1,80.9,0,1,0
OP0001033,LAX,2023-10-30,684,678,9,2,20.5,25.8,68.8,83.9,0,0,0
OP0001034,LAX,2023-10-31,667,664,13,1,15.8,14.9,70.4,80.3,0,2,0
OP0001035,LAX,2023-11-01,663,673,14,1,11.1,14.0,79.3,76.6,0,1,0
OP0001036,LAX,2023-11-02,680,686,12,2,12.6,14.5,73.8,82.1,0,1,0
OP0001037,LAX,2023-11-03,740,746,14,2,15.2,16.3,75.4,83.1,0,2,0
OP0001038,LAX,2023-11-04,701,699,12,2,13.9,16.3,74.1,88.5,0,2,0
OP0001039,LAX,2023-11-05,747,740,10,3,13.1,18.4,70.5,85.1,0,0,0
OP0001040,LAX,2023-11-06,653,663,8,1,17.2,20.4,69.0,82.0,0,1,0
OP0001041,LAX,2023-11-07,623,620,9,1,16.4,16.5,74.7,77.9,0,2,0
OP0001042,LAX,2023-11-08,660,659,13,2,12.9,20.6,76.8,80.1,0,1,0
OP0001043,LAX,2023-11-09,617,619,12,2,16.2,19.6,71.4,85.1,0,0,0
OP0001044,LAX,2023-11-10,701,692,15,2,14.0,16.1,74.1,86.8,0,0,0
OP0001045,LAX,2023-11-11,688,691,14,1,8.2,13.3,88.7,83.8,0,2,0
OP0001046,LAX,2023-11-12,633,637,5,2,11.3,11.4,80.6,80.7,0,2,0
OP0001047,LAX,2023-11-13,609,605,14,2,13.0,16.1,79.0,81.4,0,1,0
OP0001048,LAX,2023-11-14,630,622,9,1,12.9,10.9,71.4,86.5,0,1,0
OP0001049,LAX,2023-11-15,636,637,11,1,3.8,10.2,95.7,79.3,0,1,0
OP0001050,LAX,2023-11-16,658,652,8,1,10.8,13.7,79.4,79.1,0,2,0
OP0001051,LAX,2023-11-17,708,699,11,2,8.4,8.8,86.6,84.3,0,0,0
OP0001052,LAX,2023-11-18,701,704,15,1,15.2,18.1,70.3,81.7,0,1,0
OP0001053,LAX,2023-11-19,721,731,11,2,11.8,14.8,78.3,85.1,0,1,0
OP0001054,LAX,2023-11-20,657,662,8,2,13.3,15.0,74.2,81.0,0,0,0
OP0001055,LAX,2023-11-21,699,708,14,1,18.9,21.5,67.0,82.8,0,1,0
OP0001056,LAX,2023-11-22,615,610,10,0,8.1,11.8,82.5,81.5,0,1,0
OP0001057,LAX,2023-11-23,689,696,15,1,7.3,10.4,95.1,81.8,0,1,0
OP0001058,LAX,2023-11-24,727,737,7,3,21.7,24.7,57.7,81.7,0,0,0
OP0001059,LAX,2023-11-25,713,719,10,1,17.7,19.2,66.7,83.2,0,2,0
OP0001060,LAX,2023-11-26,734,737,15,1,2.7,3.8,91.0,75.6,0,2,0
OP0001061,LAX,2023-11-27,677,683,11,1,21.2,23.7,59.6,81.6,0,1,0
OP0001062,LAX,2023-11-28,669,679,4,0,20.0,22.4,71.9,82.6,0,2,0
OP0001063,LAX,2023-11-29,665,670,13,1,11.8,12.4,81.1,78.2,0,1,0
OP0001064,LAX,2023-11-30,654,658,11,1,7.4,13.6,87.7,87.8,0,1,0
OP0001065,LAX,2023-12-01,764,768,13,1,14.5,17.3,74.4,80.1,1,0,0
OP0001066,LAX,2023-12-02,697,691,13,1,19.6,21.8,65.3,82.2,0,1,0
OP0001067,LAX,2023-12-03,727,735,15,1,12.8,15.4,75.7,82.2,1,1,0
OP0001068,LAX,2023-12-04,731,736,11,0,18.3,20.1,69.6,81.6,1,3,0
OP0001069,LAX,2023-12-05,720,729,10,4,16.7,19.6,70.0,84.6,1,0,0
OP0001070,LAX,2023-12-06,725,734,19,1,22.0,24.6,62.0,82.6,1,2,0
OP0001071,LAX,2023-12-07,687,679,11,0,15.8,19.2,68.8,78.1,0,5,0
OP0001072,LAX,2023-12-08,733,741,16,2,18.9,20.5,68.4,85.6,0,5,0
OP0001073,LAX,2023-12-09,729,731,13,2,15.6,16.2,70.5,81.0,0,3,0
OP0001074,LAX,2023-12-10,698,702,17,1,18.5,24.2,65.2,82.8,0,4,0
OP0001075,LAX,2023-12-11,713,720,17,3,16.2,18.8,70.7,85.3,0,1,0
OP0001076,LAX,2023-12-12,757,749,19,1,19.2,20.4,62.7,83.7,0,2,0
OP0001077,LAX,2023-12-13,715,708,11,2,24.0,25.2,55.6,79.6,1,5,0
OP0001078,LAX,2023-12-14,722,717,16,0,13.2,20.4,78.6,77.9,1,1,0
OP0001079,LAX,2023-12-15,691,696,19,2,22.3,28.3,61.4,83.5,0,1,0
OP0001080,LAX,2023-12-16,682,672,14,2,24.2,28.0,55.6,84.0,0,1,0
OP0001081,LAX,2023-12-17,709,708,13,1,17.7,21.4,69.0,77.8,0,0,0
OP0001082,LAX,2023-12-18,741,742,17,1,8.8,10.2,85.3,83.7,0,3,0
OP0001083,LAX,2023-12-19,693,699,7,0,14.6,20.0,75.9,82.1,0,0,0
OP0001084,LAX,2023-12-20,733,731,18,1,24.0,26.1,54.2,79.9,1,4,0
OP0001085,LAX,2023-12-21,742,740,21,0,24.7,24.9,55.0,83.0,0,5,0
OP0001086,LAX,2023-12-22,705,703,15,1,9.2,11.2,82.3,82.3,0,4,0
OP0001087,LAX,2023-12-23,741,737,18,2,19.9,23.9,65.0,82.4,1,0,0
OP0001088,LAX,2023-12-24,690,696,12,1,14.5,17.9,74.1,86.1,1,5,0
OP0001089,LAX,2023-12-25,706,705,11,2,17.0,17.9,67.6,87.4,1,2,0
OP0001090,LAX,2023-12-26,718,716,16,3,25.9,30.4,51.0,80.3,0,4,0
OP0001091,LAX,2023-12-27,732,742,20,2,22.2,25.8,56.6,80.3,1,1,0
OP0001092,LAX,2023-12-28,674,675,22,1,15.3,21.6,74.8,84.0,1,3,0
OP0001093,LAX,2023-12-29,730,738,13,0,18.9,18.2,60.8,83.2,0,5,0
OP0001094,LAX,2023-12-30,761,759,13,1,12.0,15.6,77.9,82.1,0,1,0
OP0001095,LAX,2023-12-31,763,758,17,3,12.6,17.1,80.8,83.6,0,1,0
OP0001096,DFW,2023-01-01,783,778,17,2,23.2,28.1,56.9,87.9,1,3,1
OP0001097,DFW,2023-01-02,719,722,16,0,10.6,12.3,78.2,87.4,0,1,0
OP0001098,DFW,2023-01-03,708,705,18,1,14.8,13.2,74.9,89.4,0,4,0
OP0001099,DFW,2023-01-04,700,704,18,2,10.1,14.5,80.7,86.8,0,4,0
OP0001100,DFW,2023-01-05,705,700,12,1,24.1,23.4,53.9,88.0,0,3,0
OP0001101,DFW,2023-01-06,786,785,10,3,23.2,25.9,54.4,84.7,0,3,0
OP0001102,DFW,2023-01-07,778,778,14,1,10.6,11.6,78.7,88.3,0,0,0
OP0001103,DFW,2023-01-08,779,779,13,2,28.1,28.3,50.5,92.9,1,0,0
OP0001104,DFW,2023-01-09,738,737,11,2,17.3,22.8,63.3,91.1,0,1,0
OP0001105,DFW,2023-01-10,679,679,17,2,16.4,20.5,68.5,88.4,1,3,0
OP0001106,DFW,2023-01-11,687,694,12,1,12.3,17.9,79.7,86.4,1,5,0
OP0001107,DFW,2023-01-12,668,672,12,0,22.1,26.2,61.9,92.0,0,5,0
OP0001108,DFW,2023-01-13,801,792,21,1,13.7,15.7,80.3,90.6,0,3,0
OP0001109,DFW,2023-01-14,830,833,20,2,19.6,22.0,63.0,92.6,0,2,0
OP0001110,DFW,2023-01-15,778,772,16,1,18.7,20.6,64.8,91.2,1,1,0
OP0001111,DFW,2023-01-16,704,701,10,2,18.5,22.8,65.7,85.3,0,5,0
OP0001112,DFW,2023-01-17,661,662,9,3,9.8,14.7,84.6,91.3,0,5,0
OP0001113,DFW,2023-01-18,733,727,8,0,27.4,29.6,50,90.6,1,4,0
OP0001114,DFW,2023-01-19,680,690,15,2,20.1,23.5,61.9,86.1,0,0,0
OP0001115,DFW,2023-01-20,854,864,22,2,12.4,14.3,78.3,96.9,0,2,0
OP0001116,DFW,2023-01-21,799,802,18,2,8.9,12.0,84.5,87.7,0,4,0
OP0001117,DFW,2023-01-22,806,814,14,2,12.5,14.7,78.0,93.7,0,1,0
OP0001118,DFW,2023-01-23,687,680,15,3,18.0,22.2,69.9,86.7,1,4,0
OP0001119,DFW,2023-01-24,713,721,17,2,27.5,31.1,53.0,93.7,1,5,0
OP0001120,DFW,2023-01-25,685,677,12,1,12.4,14.4,74.6,91.2,1,2,0
OP0001121,DFW,2023-01-26,648,638,11,2,12.1,14.3,76.3,88.3,0,2,0
OP0001122,DFW,2023-01-27,774,767,17,1,9.5,11.5,83.1,84.4,0,4,0
OP0001123,DFW,2023-01-28,767,762,19,2,15.1,17.6,71.6,86.2,0,0,0
OP0001124,DFW,2023-01-29,825,816,11,1,19.3,25.5,63.5,90.9,0,2,0
OP0001125,DFW,2023-01-30,713,712,13,1,16.4,20.7,68.6,91.2,0,1,0
OP0001126,DFW,2023-01-31,656,646,12,1,19.5,23.9,67.3,91.0,0,0,0
OP0001127,DFW,2023-02-01,737,735,12,2,16.8,20.3,73.6,83.3,0,3,0
OP0001128,DFW,2023-02-02,722,723,12,2,22.2,24.5,61.5,85.1,0,5,0
OP0001129,DFW,2023-02-03,815,822,15,3,19.3,21.2,69.4,93.0,1,1,0
OP0001130,DFW,2023-02-04,813,818,10,2,21.3,25.5,62.0,88.4,0,3,0
OP0001131,DFW,2023-02-05,735,726,13,1,16.7,19.8,72.3,86.2,0,4,0
OP0001132,DFW,2023-02-06,694,686,9,1,21.0,22.8,57.1,91.2,1,5,0
OP0001133,DFW,2023-02-07,689,693,13,1,17.0,22.0,69.5,87.2,0,2,0
OP0001134,DFW,2023-02-08,674,673,12,1,9.0,13.2,87.8,87.3,0,3,0
OP0001135,DFW,2023-02-09,695,690,16,2,15.3,19.1,73.2,91.6,0,0,0
OP0001136,DFW,2023-02-10,780,772,14,3,3.4,7.1,92.4,85.4,1,1,0
OP0001137,DFW,2023-02-11,792,788,8,1,17.9,21.0,67.0,95.4,0,2,0
OP0001138,DFW,2023-02-12,814,812,15,2,17.8,20.8,69.0,88.5,0,5,0
OP0001139,DFW,2023-02-13,703,697,14,2,16.4,19.6,69.7,82.1,0,0,0
OP0001140,DFW,2023-02-14,704,708,17,1,18.4,17.5,69.7,91.1,0,5,0
OP0001141,DFW,2023-02-15,662,665,15,0,5.3,9.7,88.6,91.5,0,5,0
OP0001142,DFW,2023-02-16,680,674,6,1,22.7,22.2,56.9,89.0,0,2,0
OP0001143,DFW,2023-02-17,806,806,9,2,11.1,16.1,79.0,86.1,0,4,0
OP0001144,DFW,2023-02-18,808,805,12,2,17.1,15.9,70.4,85.4,0,2,0
OP0001145,DFW,2023-02-19,796,789,12,2,20.7,23.3,57.9,91.9,0,0,0
OP0001146,DFW,2023-02-20,709,712,16,2,10.9,15.6,76.9,90.9,1,1,0
OP0001147,DFW,2023-02-21,720,723,8,1,12.8,14.0,77.3,92.2,0,0,0
OP0001148,DFW,2023-02-22,721,729,10,1,8.9,11.4,87.6,84.9,0,4,0
OP0001149,DFW,2023-02-23,703,694,13,1,12.1,16.9,79.5,87.7,1,0,0
OP0001150,DFW,2023-02-24,806,797,9,1,15.1,20.6,73.9,87.1,0,5,0
OP0001151,DFW,2023-02-25,791,784,19,2,20.9,25.4,61.4,85.6,0,3,1
OP0001152,DFW,2023-02-26,797,787,14,1,16.5,16.7,72.7,91.0,0,0,0
OP0001153,DFW,2023-02-27,701,711,10,1,17.5,22.4,70.1,87.9,0,2,0
OP0001154,DFW,2023-02-28,706,707,13,1,14.0,17.0,72.0,89.0,0,3,0
OP0001155,DFW,2023-03-01,698,696,4,2,12.4,17.4,76.8,86.8,0,0,0
OP0001156,DFW,2023-03-02,731,734,5,1,9.8,11.2,79.6,87.8,0,2,0
OP0001157,DFW,2023-03-03,765,760,11,1,23.1,25.0,59.2,88.5,0,2,0
OP0001158,DFW,2023-03-04,745,747,9,2,8.8,8.4,82.4,84.2,0,1,0
OP0001159,DFW,2023-03-05,796,786,8,2,9.2,10.8,84.4,87.8,0,0,0
OP0001160,DFW,2023-03-06,707,709,3,2,12.1,14.0,75.4,89.9,0,1,1
OP0001161,DFW,2023-03-07,746,742,13,1,14.4,18.1,73.8,89.5,0,2,0
OP0001162,DFW,2023-03-08,701,702,12,1,15.0,18.6,73.5,83.8,0,1,0
OP0001163,DFW,2023-03-09,656,666,8,1,8.9,14.6,77.7,88.5,0,1,0
OP0001164,DFW,2023-03-10,814,805,10,2,5.8,6.0,95.9,88.8,0,0,0
OP0001165,DFW,2023-03-11,752,762,10,3,16.2,20.9,71.5,88.7,0,1,0
OP0001166,DFW,2023-03-12,808,805,7,0,12.6,14.1,74.0,87.5,0,1,0
OP0001167,DFW,2023-03-13,739,737,10,3,20.5,23.0,62.7,79.9,0,1,0
OP0001168,DFW,2023-03-14,683,681,18,3,11.7,16.4,78.3,89.8,0,2,0
OP0001169,DFW,2023-03-15,700,691,11,1,13.2,19.7,82.1,87.3,0,0,0
OP0001170,DFW,2023-03-16,711,712,17,3,8.5,11.3,84.6,88.9,0,1,0
OP0001171,DFW,2023-03-17,824,827,13,3,13.8,16.0,71.3,87.4,0,1,0
OP0001172,DFW,2023-03-18,725,723,11,2,12.0,17.2,81.6,86.2,0,0,0
OP0001173,DFW,2023-03-19,756,755,10,2,7.6,12.3,85.1,84.5,0,1,0
OP0001174,DFW,2023-03-20,661,670,7,3,10.8,14.9,78.6,87.7,0,0,0
OP0001175,DFW,2023-03-21,735,740,9,2,17.8,20.0,68.2,87.2,0,0,0
OP0001176,DFW,2023-03-22,718,721,8,2,13.8,15.7,78.0,90.3,0,2,0
OP0001177,DFW,2023-03-23,659,661,11,2,14.6,21.9,74.7,88.7,0,1,0
OP0001178,DFW,2023-03-24,769,759,2,2,18.3,20.1,70.5,88.9,0,2,0
OP0001179,DFW,2023-03-25,771,781,9,1,6.5,8.4,91.1,88.2,0,2,0
OP0001180,DFW,2023-03-26,766,775,7,2,10.6,12.4,82.0,90.7,0,1,0
OP0001181,DFW,2023-03-27,678,671,9,1,11.9,15.0,80.7,92.6,0,2,0
OP0001182,DFW,2023-03-28,727,721,19,2,17.5,19.8,64.9,86.0,0,1,0
OP0001183,DFW,2023-03-29,695,691,11,1,12.8,12.1,74.6,92.2,0,2,0
OP0001184,DFW,2023-03-30,676,671,19,2,16.9,21.0,63.9,89.6,0,2,0
OP0001185,DFW,2023-03-31,805,804,18,2,25.0,24.0,53.4,90.8,0,2,0
OP0001186,DFW,2023-04-01,765,756,8,2,13.4,19.9,80.6,84.0,0,0,0
OP0001187,DFW,2023-04-02,784,776,11,1,20.0,26.9,58.5,89.5,0,1,0
OP0001188,DFW,2023-04-03,697,695,10,2,17.0,19.7,72.6,86.3,0,0,0
OP0001189,DFW,2023-04-04,673,681,7,2,10.1,14.4,77.8,86.5,0,2,0
OP0001190,DFW,2023-04-05,719,715,11,1,16.8,20.7,70.7,83.4,0,0,0
OP0001191,DFW,2023-04-06,693,683,9,2,14.0,17.5,74.4,89.2,0,2,0
OP0001192,DFW,2023-04-07,796,787,17,3,12.6,19.0,80.4,79.1,0,0,0
OP0001193,DFW,2023-04-08,796,796,15,4,15.6,18.7,72.0,89.4,0,1,0
OP0001194,DFW,2023-04-09,835,840,7,1,16.6,22.1,70.2,94.3,0,2,0
OP0001195,DFW,2023-04-10,667,667,6,1,6.8,10.8,83.0,87.6,0,0,0
OP0001196,DFW,2023-04-11,657,649,9,1,12.8,14.7,73.7,90.8,0,1,0
OP0001197,DFW,2023-04-12,664,666,7,2,1.5,2.6,96.0,84.2,0,2,0
OP0001198,DFW,2023-04-13,658,652,8,0,17.6,17.4,68.0,91.6,0,0,0
OP0001199,DFW,2023-04-14,753,757,7,2,12.4,15.7,74.3,86.4,0,2,0
OP0001200,DFW,2023-04-15,764,761,15,3,20.2,24.1,69.6,90.0,0,2,0
OP0001201,DFW,2023-04-16,747,756,10,1,21.5,22.8,65.4,86.1,0,1,0
OP0001202,DFW,2023-04-17,690,696,8,1,10.9,10.4,74.6,86.2,0,2,0
OP0001203,DFW,2023-04-18,697,702,9,2,17.4,18.6,65.8,88.5,0,1,0
OP0001204,DFW,2023-04-19,753,745,9,1,3.0,7.1,92.1,87.2,0,2,0
OP0001205,DFW,2023-04-20,653,649,7,2,0,2.8,99,92.3,0,1,0
OP0001206,DFW,2023-04-21,787,793,12,4,25.6,27.8,50,87.0,0,2,0
OP0001207,DFW,2023-04-22,744,740,0,3,10.4,10.6,80.9,88.8,0,1,0
OP0001208,DFW,2023-04-23,878,871,15,3,10.6,16.8,83.1,87.5,0,1,0
OP0001209,DFW,2023-04-24,678,686,9,0,20.6,23.1,67.1,89.4,0,1,0
OP0001210,DFW,2023-04-25,661,654,7,3,20.9,20.6,60.4,85.2,0,1,0
OP0001211,DFW,2023-04-26,689,683,9,2,11.3,15.8,80.3,88.0,0,2,0
OP0001212,DFW,2023-04-27,711,705,12,1,15.0,19.4,76.5,86.0,0,2,0
OP0001213,DFW,2023-04-28,749,749,12,2,10.3,15.7,79.0,89.7,0,2,0
OP0001214,DFW,2023-04-29,819,827,15,2,14.1,15.5,70.0,85.7,0,0,0
OP0001215,DFW,2023-04-30,794,794,17,3,13.2,18.5,74.6,92.8,0,1,0
OP0001216,DFW,2023-05-01,741,745,0,2,9.2,14.9,83.4,88.2,0,2,1
OP0001217,DFW,2023-05-02,672,663,8,1,14.1,15.0,76.1,87.4,0,1,0
OP0001218,DFW,2023-05-03,685,685,7,1,10.9,15.1,81.4,86.5,0,1,0
OP0001219,DFW,2023-05-04,749,741,6,2,3.5,9.1,94.7,87.1,0,2,0
OP0001220,DFW,2023-05-05,779,771,15,3,0,4.7,98.3,89.0,0,2,0
OP0001221,DFW,2023-05-06,746,756,16,3,11.2,13.6,85.0,89.3,0,0,0
OP0001222,DFW,2023-05-07,713,705,12,1,1.2,5.3,98.5,87.7,0,0,0
OP0001223,DFW,2023-05-08,699,694,8,2,11.0,14.9,76.6,87.8,0,2,0
OP0001224,DFW,2023-05-09,718,726,7,1,14.2,17.3,73.9,87.7,0,0,0
OP0001225,DFW,2023-05-10,710,708,7,1,11.6,17.0,74.5,86.4,0,1,0
OP0001226,DFW,2023-05-11,671,680,10,2,13.0,18.6,78.4,91.7,0,1,0
OP0001227,DFW,2023-05-12,721,730,3,1,9.6,11.0,85.9,87.4,0,1,0
OP0001228,DFW,2023-05-13,784,779,17,2,15.9,17.2,68.6,89.9,0,2,0
OP0001229,DFW,2023-05-14,781,786,3,2,3.1,5.5,95.8,89.8,0,2,1
OP0001230,DFW,2023-05-15,678,686,6,1,15.1,17.1,71.8,84.4,0,0,0
OP0001231,DFW,2023-05-16,680,680,2,2,6.2,7.5,89.1,85.8,0,0,0
OP0001232,DFW,2023-05-17,735,741,4,3,11.5,16.5,85.2,90.4,0,1,0
OP0001233,DFW,2023-05-18,730,737,11,3,15.7,21.2,68.0,90.1,0,2,0
OP0001234,DFW,2023-05-19,793,793,11,2,12.2,15.2,78.9,92.1,0,1,0
OP0001235,DFW,2023-05-20,779,769,6,1,17.6,21.3,67.0,89.2,0,0,0
OP0001236,DFW,2023-05-21,820,820,5,3,13.2,18.2,76.2,93.4,0,0,0
OP0001237,DFW,2023-05-22,615,608,10,1,8.6,10.7,83.2,83.0,0,2,0
OP0001238,DFW,2023-05-23,707,704,10,1,10.6,9.3,80.7,91.9,0,2,0
OP0001239,DFW,2023-05-24,733,734,5,4,10.6,10.9,80.4,82.9,0,0,0
OP0001240,DFW,2023-05-25,725,732,2,2,4.9,8.7,95.6,93.2,0,2,0
OP0001241,DFW,2023-05-26,753,757,13,2,12.1,13.8,79.5,92.8,0,2,0
OP0001242,DFW,2023-05-27,827,833,18,1,18.3,18.7,62.6,90.2,0,1,0
OP0001243,DFW,2023-05-28,769,776,12,3,6.4,7.1,91.1,89.1,0,1,0
OP0001244,DFW,2023-05-29,665,656,5,1,3.4,7.1,90.5,90.4,0,1,0
OP0001245,DFW,2023-05-30,694,693,9,3,23.1,26.2,61.3,87.1,0,1,0
OP0001246,DFW,2023-05-31,656,651,15,1,2.2,2.7,99,86.6,0,2,1
OP0001247,DFW,2023-06-01,745,743,19,2,5.2,10.7,88.8,91.4,0,4,0
OP0001248,DFW,2023-06-02,746,755,9,1,14.8,20.6,70.0,86.1,0,5,0
OP0001249,DFW,2023-06-03,808,798,19,1,15.4,21.0,72.0,83.2,0,1,0
OP0001250,DFW,2023-06-04,800,803,14,2,13.8,16.7,74.5,87.5,0,4,0
OP0001251,DFW,2023-06-05,778,772,8,2,23.7,28.6,56.1,83.3,0,3,0
OP0001252,DFW,2023-06-06,721,718,12,1,21.0,25.8,68.1,91.4,0,0,0
OP0001253,DFW,2023-06-07,768,764,8,1,10.8,16.0,82.2,85.7,0,1,0
OP0001254,DFW,2023-06-08,736,728,8,2,10.7,15.2,80.0,86.1,0,3,0
OP0001255,DFW,2023-06-09,753,760,13,2,20.0,26.5,65.6,89.1,0,2,0
OP0001256,DFW,2023-06-10,768,769,16,1,15.5,20.8,78.6,92.3,0,3,0
OP0001257,DFW,2023-06-11,727,723,10,2,13.3,19.9,73.7,91.7,0,1,0
OP0001258,DFW,2023-06-12,726,719,14,2,13.4,15.7,80.4,89.9,0,5,0
OP0001259,DFW,2023-06-13,718,724,15,2,16.2,18.9,71.7,89.1,0,2,0
OP0001260,DFW,2023-06-14,808,799,17,2,16.5,16.6,72.0,88.9,0,5,0
OP0001261,DFW,2023-06-15,804,794,16,1,9.2,14.1,83.4,87.9,0,1,0
OP0001262,DFW,2023-06-16,760,760,13,1,7.6,7.9,88.2,91.5,0,5,0
OP0001263,DFW,2023-06-17,791,790,10,3,12.1,17.0,81.7,88.1,0,4,0
OP0001264,DFW,2023-06-18,782,784,12,3,18.7,21.3,65.0,86.7,0,0,0
OP0001265,DFW,2023-06-19,756,759,10,1,10.6,13.5,79.2,89.8,0,1,0
OP0001266,DFW,2023-06-20,740,743,17,1,22.5,21.9,59.8,91.5,0,2,1
OP0001267,DFW,2023-06-21,791,790,12,2,19.8,21.9,59.3,86.3,0,4,0
OP0001268,DFW,2023-06-22,749,753,17,2,12.7,15.5,75.0,87.1,0,2,1
OP0001269,DFW,2023-06-23,771,767,10,1,7.5,10.2,86.4,93.7,0,5,0
OP0001270,DFW,2023-06-24,751,746,21,0,16.6,18.0,68.9,85.0,0,4,0
OP0001271,DFW,2023-06-25,751,755,16,1,7.5,10.3,83.5,80.4,0,3,0
OP0001272,DFW,2023-06-26,762,765,8,1,21.4,24.8,69.4,92.3,0,2,0
OP0001273,DFW,2023-06-27,774,774,5,2,17.7,21.3,68.9,95.2,0,1,0
OP0001274,DFW,2023-06-28,781,784,11,1,13.2,13.8,72.8,83.4,0,2,0
OP0001275,DFW,2023-06-29,756,747,16,2,18.2,19.5,69.4,88.9,0,5,1
OP0001276,DFW,2023-06-30,758,767,14,1,20.1,22.4,62.3,83.4,0,0,0
OP0001277,DFW,2023-07-01,750,759,13,2,23.3,26.5,66.6,87.7,0,0,0
OP0001278,DFW,2023-07-02,734,724,11,2,19.1,23.3,66.8,86.5,0,4,0
OP0001279,DFW,2023-07-03,794,803,15,2,21.8,23.2,64.6,85.1,0,0,0
OP0001280,DFW,2023-07-04,826,830,15,3,16.7,22.7,66.5,89.9,0,1,0
OP0001281,DFW,2023-07-05,771,762,9,2,11.4,11.6,78.8,93.3,0,0,0
OP0001282,DFW,2023-07-06,808,815,13,2,14.1,16.6,81.6,85.2,0,4,1
OP0001283,DFW,2023-07-07,792,789,11,2,18.8,22.5,61.1,86.5,0,3,0
OP0001284,DFW,2023-07-08,835,840,13,4,6.5,9.7,84.0,91.7,0,3,0
OP0001285,DFW,2023-07-09,761,770,7,2,18.0,22.6,70.4,83.3,0,5,0
OP0001286,DFW,2023-07-10,753,746,17,1,15.8,19.7,72.7,85.5,0,4,0
OP0001287,DFW,2023-07-11,781,778,18,3,13.9,18.7,72.6,83.7,0,1,0
OP0001288,DFW,2023-07-12,781,776,17,2,5.8,8.0,86.8,87.8,0,1,0
OP0001289,DFW,2023-07-13,801,806,14,2,7.8,16.8,86.6,90.1,0,2,0
OP0001290,DFW,2023-07-14,801,795,15,2,15.5,23.4,69.8,91.1,0,4,1
OP0001291,DFW,2023-07-15,792,796,18,2,10.2,14.9,81.0,85.5,0,0,0
OP0001292,DFW,2023-07-16,745,754,12,0,13.5,16.3,75.4,85.7,0,1,0
OP0001293,DFW,2023-07-17,815,811,12,2,14.5,16.7,74.6,86.9,0,5,1
OP0001294,DFW,2023-07-18,766,762,15,1,14.6,17.8,73.4,87.1,0,4,0
OP0001295,DFW,2023-07-19,821,830,11,1,9.6,10.3,77.3,83.1,0,1,0
OP0001296,DFW,2023-07-20,840,835,17,1,6.0,10.2,88.2,86.9,0,2,0
OP0001297,DFW,2023-07-21,721,712,15,1,21.6,24.0,61.2,90.8,0,2,0
OP0001298,DFW,2023-07-22,727,727,7,1,9.8,11.0,80.7,95.0,0,0,0
OP0001299,DFW,2023-07-23,721,729,11,2,15.4,18.9,69.8,85.0,0,0,0
OP0001300,DFW,2023-07-24,715,720,11,1,4.9,7.8,93.1,83.4,0,1,0
OP0001301,DFW,2023-07-25,748,754,9,0,15.6,16.4,72.2,88.1,0,1,0
OP0001302,DFW,2023-07-26,824,834,16,3,5.8,8.7,91.6,84.7,0,0,0
OP0001303,DFW,2023-07-27,780,778,9,1,8.8,9.4,81.7,87.5,0,2,0
OP0001304,DFW,2023-07-28,773,770,13,3,2.8,7.0,93.3,89.1,0,0,0
OP0001305,DFW,2023-07-29,794,801,17,3,19.5,23.6,65.3,86.2,0,4,0
